tmdb_id,imdb_id,title,release_date,belongs_to_collection,runtime,budget,revenue
2789,tt0296572,The Chronicles of Riddick,2004-06-11,True,119,105000000,115772733
9890,tt0327162,The Stepford Wives,2004-06-10,False,93,90000000,102000000
1487,tt0167190,Hellboy,2004-04-02,True,122,66000000,99318987
1954,tt0289879,The Butterfly Effect,2004-01-22,True,113,13000000,96060858
38,tt0338013,Eternal Sunshine of the Spotless Mind,2004-03-19,False,108,20000000,72258126
5137,tt0346156,Sky Captain and the World of Tomorrow,2004-09-17,False,107,70000000,57958696
11058,tt0335121,Godsend,2004-04-30,False,102,25000000,30114487
11052,tt0403703,Yu-Gi-Oh! The Movie,2004-08-13,False,90,20000000,29170410
14623,tt0167456,Thunderbirds,2004-07-23,False,95,57000000,28283637
844,tt0212712,2046,2004-05-20,False,129,12000000,19271312
11662,tt0405821,Casshern,2004-04-24,False,141,6000000,12353768
12140,tt0347246,Ghost in the Shell 2: Innocence,2004-03-06,True,100,0,9789651
10045,tt0414852,District B13,2004-11-09,True,84,12000000,9584131
11633,tt0401233,Appleseed,2004-04-17,True,101,10000000,1461989
1895,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005-05-17,True,140,113000000,850000000
74,tt0407304,War of the Worlds,2005-06-28,True,116,132000000,591739379
9738,tt0120667,Fantastic Four,2005-06-29,True,106,100000000,330579719
9928,tt0358082,Robots,2005-03-10,False,91,75000000,260696994
1635,tt0399201,The Island,2005-07-21,False,136,126000000,162949164
7453,tt0371724,The Hitchhiker's Guide to the Galaxy,2005-04-28,False,109,50000000,104478416
14199,tt0424774,The Adventures of Sharkboy and Lavagirl,2005-06-10,False,92,50000000,69425966
6795,tt0406375,Zathura: A Space Adventure,2005-11-06,False,101,65000000,64321501
9947,tt0357277,Elektra,2005-01-13,False,97,43000000,56681566
8814,tt0419706,Doom,2005-10-20,False,105,60000000,55987321
8202,tt0402022,Æon Flux,2005-11-30,False,93,62000000,52304001
11683,tt0418819,Land of the Dead,2005-06-24,True,93,15000000,46770602
16320,tt0379786,Serenity,2005-09-03,False,119,39000000,38869464
10077,tt0318081,A Sound of Thunder,2005-05-15,False,110,80000000,5989640
11559,tt0410764,Tideland,2005-09-09,False,120,12000000,566611
14337,tt0390384,Primer,2005-06-02,False,77,7000,424760
239908,tt0455951,Fragile Machine,2005-03-05,False,34,0,45000
222060,tt1988546,Anonymous Celebrities: Animatic,2005-10-18,False,99,200,10
399910,tt4919486,The Naive Man From Lolliland,2005-01-01,False,5,0,0
143830,,Megaman X - The Day of Sigma,2005-12-15,False,30,0,0
36668,tt0376994,X-Men: The Last Stand,2006-05-24,True,104,210000000,459359555
1452,tt0348150,Superman Returns,2006-06-28,True,154,270000000,391081192
7551,tt0453467,Déjà Vu,2006-11-22,False,126,75000000,180557550
834,tt0401855,Underworld: Evolution,2006-01-12,True,106,50000000,111340801
